task,rank_in_task,experiment_id,model,category,primary_metric,primary_metric_mean,primary_metric_std,auroc_mean,balanced_accuracy_mean,f1_mean,seed_count,model_params_mean,n_qubits,circuit_depth,total_training_time_sec_mean,inference_time_sec_mean
bace,1,mol_mlp_bace,mlp,classical_descriptor,auroc,0.9904662126767942,0.0033324729703047974,0.9904662126767942,0.9703335079448226,0.9669662129421612,5,691074,,,1.7536686420440675,0.007197713851928711
bace,2,mol_svm_bace,svm,classical_descriptor,auroc,0.9631569757290028,1.1102230246251565e-16,0.9631569757290028,0.8576916361096562,0.8472222222222221,5,,,,,
bace,3,mol_mlp_bace_frac0.5,mlp,classical_ablation,auroc,0.9188231185612012,0.020347476189686325,0.9188231185612012,0.8579011698969792,0.845841219253885,5,691074,,,0.8950025081634522,0.006011152267456054
bace,4,mol_mlp_bace_frac0.25,mlp,classical_ablation,auroc,0.8892439322507422,0.023559458043078355,0.8892439322507422,0.8197310983062686,0.8000936685147211,5,691074,,,0.6820522308349609,0.006250333786010742
bace,5,mol_qsvm_bace_q6,qsvm,quantum_descriptor,auroc,0.8741400384145276,0.027359653576779348,0.8741400384145276,0.7845119608870263,0.7608914627479753,5,,6,2,,
bace,6,mol_qsvm_bace_q8_d1,qsvm,quantum_ablation,auroc,0.8486991444037016,0.014478651617964423,0.8486991444037016,0.7705255805832023,0.7474728194236675,5,,8,1,,
bace,7,mol_gnn_bace,gnn,classical_graph,auroc,0.8360048891217042,0.03510193018372351,0.8360048891217042,0.7402479483149991,0.7377846657823,5,,,,,
bace,8,mol_qsvm_bace_q8_linear,qsvm,quantum_ablation,auroc,0.8294394971189105,0.014517409671262393,0.8294394971189105,0.7632966649205517,0.7405485931787734,5,,8,2,,
bace,9,mol_mlp_bace_frac0.1,mlp,classical_ablation,auroc,0.8267679413305394,0.050116095279057506,0.8267679413305394,0.7425004365287236,0.7102770504882665,5,691074,,,0.6048755168914794,0.006176280975341797
bace,10,mol_qsvm_bace_q4,qsvm,quantum_descriptor,auroc,0.8263837960537803,0.013136958970695152,0.8263837960537803,0.7656713811768815,0.7366636986419541,5,,4,2,,
bace,11,mol_qsvm_bace_frac0.25,qsvm,quantum_data_ablation,auroc,0.8246551423083639,0.013916174211563303,0.8246551423083639,0.7416273790815435,0.7246536686293046,5,,8,2,,
bace,12,mol_qsvm_bace_frac0.5,qsvm,quantum_data_ablation,auroc,0.8032652348524533,0.013530711803827573,0.8032652348524533,0.7035969966823817,0.7013304023199096,5,,8,2,,
bace,13,mol_gat_bace,gat,classical_graph,auroc,0.7982189628077527,0.0049628996468630395,0.7982189628077527,0.7104941505151039,0.7288525836943522,5,,,,,
bace,14,mol_gnn_bace_frac0.5,gnn,classical_ablation,auroc,0.7654269250916711,0.01879767092914994,0.7654269250916711,0.6692159944124323,0.6898399845768267,5,,,,,
bace,15,mol_gnn_bace_frac0.25,gnn,classical_ablation,auroc,0.7210057621791515,0.03031697987989486,0.7210057621791515,0.6326348873755893,0.676681237408193,5,,,,,
bace,16,mol_qsvm_bace_q2,qsvm,quantum_descriptor,auroc,0.6990745591059891,0.027476015318972372,0.6990745591059891,0.6269774751178627,0.5913220633479652,5,,2,2,,
bace,17,mol_qsvm_bace_frac0.1,qsvm,quantum_data_ablation,auroc,0.6570281124497992,0.1983267520959597,0.6570281124497992,0.6445608521040684,0.5679829605428527,5,,8,2,,
bace,18,mol_gnn_bace_frac0.1,gnn,classical_ablation,auroc,0.6428496595075956,0.019790377165854828,0.6428496595075956,0.5416273790815436,0.4080864526819655,5,,,,,
bace,19,mol_vqc_bace_q6,vqc,quantum_descriptor,auroc,0.6413829229963331,0.049030446072987274,0.6413829229963331,0.6039462196612537,0.5277999170006182,5,,6,2,,
bace,20,mol_vqc_bace_q8,vqc,quantum_descriptor,auroc,0.6370001746114895,0.04630788876936441,0.6370001746114895,0.605378033874629,0.5245771663786276,5,,8,2,,
bace,21,mol_vqc_bace_q4,vqc,quantum_descriptor,auroc,0.6190850357953553,0.037817881873683915,0.6190850357953553,0.5914091147197486,0.5159749752023849,5,,4,2,,
bace,22,mol_qgnn_bace,qgnn,quantum_graph,auroc,0.607298760258425,0.11421828566556501,0.607298760258425,0.5259821896280775,0.6302113872415209,5,,4,2,,
bace,23,mol_vqc_bace_q2,vqc,quantum_descriptor,auroc,0.5292648856294744,0.010151732397263889,0.5292648856294744,0.5300331761829928,0.5018306631289692,5,,2,2,,
bbbp,1,mol_svm_bbbp,svm,classical_descriptor,auroc,0.9706196581196581,0.0,0.9706196581196581,0.9030448717948719,0.96875,5,,,,,
bbbp,2,mol_mlp_bbbp,mlp,classical_descriptor,auroc,0.9563835470085472,0.010716546249479847,0.9563835470085472,0.6951923076923077,0.9142588673901064,5,691074,,,0.8756715774536132,0.007190561294555664
bbbp,3,mol_gnn_bbbp,gnn,classical_graph,auroc,0.9434027777777777,0.006243033410046749,0.9434027777777777,0.8538461538461538,0.9413548331786243,5,,,,,
bbbp,4,mol_gat_bbbp,gat,classical_graph,auroc,0.916880341880342,0.005072395973254597,0.916880341880342,0.7828525641025641,0.9293595767844408,5,,,,,
bbbp,5,mol_qgnn_bbbp,qgnn,quantum_graph,auroc,0.8995459401709403,0.03256722815018752,0.8995459401709403,0.8285256410256411,0.9371881082138158,5,,4,2,,
bbbp,6,mol_qsvm_bbbp_q6,qsvm,quantum_descriptor,auroc,0.8522435897435898,0.035768626053052935,0.8522435897435898,0.6985576923076924,0.9095502763550088,5,,6,2,,
bbbp,7,mol_qsvm_bbbp_q8,qsvm,quantum_descriptor,auroc,0.8475560897435898,0.02615428748807151,0.8475560897435898,0.6697115384615385,0.9053932347181135,5,,8,2,,
bbbp,8,mol_qsvm_bbbp_q4,qsvm,quantum_descriptor,auroc,0.8275373931623932,0.027590773181561543,0.8275373931623932,0.7392628205128206,0.9224714096102204,5,,4,2,,
bbbp,9,mol_qsvm_bbbp_q2,qsvm,quantum_descriptor,auroc,0.785897435897436,0.033289752253548514,0.785897435897436,0.5424679487179487,0.875660728235718,5,,2,2,,
bbbp,10,mol_vqc_bbbp_q6,vqc,quantum_descriptor,auroc,0.6282451923076923,0.07131417258871688,0.6282451923076923,0.5913461538461539,0.8370600917651118,5,,6,2,,
bbbp,11,mol_vqc_bbbp_q4,vqc,quantum_descriptor,auroc,0.6190037393162393,0.05563776418286539,0.6190037393162393,0.5636217948717949,0.8306404784031359,5,,4,2,,
bbbp,12,mol_vqc_bbbp_q8,vqc,quantum_descriptor,auroc,0.5962339743589744,0.030934930067417137,0.5962339743589744,0.5628205128205128,0.8078567942199314,5,,8,2,,
bbbp,13,mol_vqc_bbbp_q2,vqc,quantum_descriptor,auroc,0.5695779914529915,0.013271576236649844,0.5695779914529915,0.5296474358974359,0.856283162851871,5,,2,2,,
clintox,1,mol_mlp_clintox,mlp,classical_descriptor,auroc,0.8801592568015926,0.018883668141483394,0.8801592568015926,0.5255474452554745,0.146175694867113,5,691074,,,1.838451623916626,0.0070002079010009766
clintox,2,mol_gat_clintox,gat,classical_graph,auroc,0.8191108161911081,0.041415700123919943,0.8191108161911081,0.7498341074983411,0.25995887100270615,5,,,,,
clintox,3,mol_gnn_clintox,gnn,classical_graph,auroc,0.8152621101526212,0.05519626211530492,0.8152621101526212,0.7298606502986065,0.3402100489318534,5,,,,,
clintox,4,mol_qgnn_clintox,qgnn,quantum_graph,auroc,0.7581950895819508,0.13498429737718382,0.7581950895819508,0.7077637690776377,0.282864693376903,5,,4,2,,
clintox,5,mol_svm_clintox,svm,classical_descriptor,auroc,0.7571333775713338,0.0,0.7571333775713338,0.6214333112143331,0.22222222222222224,5,,,,,
clintox,6,mol_qsvm_clintox_q6,qsvm,quantum_descriptor,auroc,0.7053749170537491,0.04530973401644725,0.7053749170537491,0.5923025879230258,0.19891115552629532,5,,6,2,,
clintox,7,mol_qsvm_clintox_q2,qsvm,quantum_descriptor,auroc,0.6699402786994028,0.03413511439477384,0.6699402786994028,0.6181818181818182,0.18312888873097619,5,,2,2,,
clintox,8,mol_vqc_clintox_q2,vqc,quantum_descriptor,auroc,0.630258792302588,0.03534131743438149,0.630258792302588,0.6385534173855342,0.20737950356649235,5,,2,2,,
clintox,9,mol_qsvm_clintox_q8,qsvm,quantum_descriptor,auroc,0.6301260783012608,0.15044383326921576,0.6301260783012608,0.5654943596549435,0.18533528291915422,5,,8,2,,
clintox,10,mol_qsvm_clintox_q4,qsvm,quantum_descriptor,auroc,0.6188453881884539,0.07749020411704777,0.6188453881884539,0.5875912408759124,0.17024060507931477,5,,4,2,,
clintox,11,mol_vqc_clintox_q4,vqc,quantum_descriptor,auroc,0.583477106834771,0.04893737697801291,0.583477106834771,0.5503649635036496,0.1533847095172358,5,,4,2,,
clintox,12,mol_vqc_clintox_q8,vqc,quantum_descriptor,auroc,0.579163901791639,0.054937265021516454,0.579163901791639,0.5559389515593895,0.1479587326253993,5,,8,2,,
clintox,13,mol_vqc_clintox_q6,vqc,quantum_descriptor,auroc,0.5779031187790311,0.06682627693790918,0.5779031187790311,0.5571333775713339,0.15638615471007283,5,,6,2,,
